source_id,sequence_name,original_stem,split,merged_stem,holdout_group,note
g31,D04_20260123074846,D04_20260123074846_frame_0023,val,g31__D04_20260123074846_frame_0023,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D04_20260123074846,D04_20260123074846_frame_0024,train,g31__D04_20260123074846_frame_0024,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D05_20260123074841,D05_20260123074841_frame_0000,train,g31__D05_20260123074841_frame_0000,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D05_20260123074841,D05_20260123074841_frame_0001,train,g31__D05_20260123074841_frame_0001,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D05_20260123074841,D05_20260123074841_frame_0002,train,g31__D05_20260123074841_frame_0002,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D05_20260123074841,D05_20260123074841_frame_0003,test,g31__D05_20260123074841_frame_0003,unified_holdout_v1,unified_holdout_v1
g31,D05_20260123074841,D05_20260123074841_frame_0004,train,g31__D05_20260123074841_frame_0004,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D05_20260123074841,D05_20260123074841_frame_0005,test,g31__D05_20260123074841_frame_0005,unified_holdout_v1,unified_holdout_v1
g31,D05_20260123074841,D05_20260123074841_frame_0006,train,g31__D05_20260123074841_frame_0006,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D05_20260123074841,D05_20260123074841_frame_0007,train,g31__D05_20260123074841_frame_0007,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D05_20260123074841,D05_20260123074841_frame_0008,train,g31__D05_20260123074841_frame_0008,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D05_20260123074841,D05_20260123074841_frame_0009,test,g31__D05_20260123074841_frame_0009,unified_holdout_v1,unified_holdout_v1
g31,D05_20260123074841,D05_20260123074841_frame_0010,test,g31__D05_20260123074841_frame_0010,unified_holdout_v1,unified_holdout_v1
g31,D05_20260123074841,D05_20260123074841_frame_0011,train,g31__D05_20260123074841_frame_0011,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D05_20260123074841,D05_20260123074841_frame_0012,train,g31__D05_20260123074841_frame_0012,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D05_20260123074841,D05_20260123074841_frame_0013,train,g31__D05_20260123074841_frame_0013,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D05_20260123074841,D05_20260123074841_frame_0014,train,g31__D05_20260123074841_frame_0014,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D05_20260123074841,D05_20260123074841_frame_0015,val,g31__D05_20260123074841_frame_0015,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D05_20260123074841,D05_20260123074841_frame_0016,val,g31__D05_20260123074841_frame_0016,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D05_20260123074841,D05_20260123074841_frame_0017,train,g31__D05_20260123074841_frame_0017,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D05_20260123074841,D05_20260123074841_frame_0018,train,g31__D05_20260123074841_frame_0018,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D05_20260123074841,D05_20260123074841_frame_0019,train,g31__D05_20260123074841_frame_0019,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D05_20260123074841,D05_20260123074841_frame_0020,train,g31__D05_20260123074841_frame_0020,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D05_20260123074841,D05_20260123074841_frame_0021,train,g31__D05_20260123074841_frame_0021,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D05_20260123074841,D05_20260123074841_frame_0022,val,g31__D05_20260123074841_frame_0022,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D05_20260123074841,D05_20260123074841_frame_0023,train,g31__D05_20260123074841_frame_0023,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D05_20260123074841,D05_20260123074841_frame_0024,train,g31__D05_20260123074841_frame_0024,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D05_20260123074841,D05_20260123074841_frame_0025,val,g31__D05_20260123074841_frame_0025,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D05_20260123074841,D05_20260123074841_frame_0026,train,g31__D05_20260123074841_frame_0026,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D05_20260123074841,D05_20260123074841_frame_0027,train,g31__D05_20260123074841_frame_0027,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D05_20260123074841,D05_20260123074841_frame_0028,val,g31__D05_20260123074841_frame_0028,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D05_20260123074841,D05_20260123074841_frame_0029,train,g31__D05_20260123074841_frame_0029,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D05_20260123074841,D05_20260123074841_frame_0030,train,g31__D05_20260123074841_frame_0030,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D05_20260123074841,D05_20260123074841_frame_0031,train,g31__D05_20260123074841_frame_0031,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D05_20260123074841,D05_20260123074841_frame_0032,train,g31__D05_20260123074841_frame_0032,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0000,train,g31__D15_20260123074848_frame_0000,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0001,test,g31__D15_20260123074848_frame_0001,unified_holdout_v1,unified_holdout_v1
g31,D15_20260123074848,D15_20260123074848_frame_0002,train,g31__D15_20260123074848_frame_0002,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0003,train,g31__D15_20260123074848_frame_0003,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0004,train,g31__D15_20260123074848_frame_0004,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0005,train,g31__D15_20260123074848_frame_0005,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0006,test,g31__D15_20260123074848_frame_0006,unified_holdout_v1,unified_holdout_v1
g31,D15_20260123074848,D15_20260123074848_frame_0007,test,g31__D15_20260123074848_frame_0007,unified_holdout_v1,unified_holdout_v1
g31,D15_20260123074848,D15_20260123074848_frame_0008,val,g31__D15_20260123074848_frame_0008,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0009,test,g31__D15_20260123074848_frame_0009,unified_holdout_v1,unified_holdout_v1
g31,D15_20260123074848,D15_20260123074848_frame_0010,train,g31__D15_20260123074848_frame_0010,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0011,train,g31__D15_20260123074848_frame_0011,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0012,train,g31__D15_20260123074848_frame_0012,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0013,train,g31__D15_20260123074848_frame_0013,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0014,train,g31__D15_20260123074848_frame_0014,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0015,val,g31__D15_20260123074848_frame_0015,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0016,val,g31__D15_20260123074848_frame_0016,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0017,test,g31__D15_20260123074848_frame_0017,unified_holdout_v1,unified_holdout_v1
g31,D15_20260123074848,D15_20260123074848_frame_0018,train,g31__D15_20260123074848_frame_0018,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0019,train,g31__D15_20260123074848_frame_0019,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0020,val,g31__D15_20260123074848_frame_0020,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0021,test,g31__D15_20260123074848_frame_0021,unified_holdout_v1,unified_holdout_v1
g31,D15_20260123074848,D15_20260123074848_frame_0022,train,g31__D15_20260123074848_frame_0022,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0023,train,g31__D15_20260123074848_frame_0023,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0024,train,g31__D15_20260123074848_frame_0024,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0025,train,g31__D15_20260123074848_frame_0025,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0026,train,g31__D15_20260123074848_frame_0026,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0027,train,g31__D15_20260123074848_frame_0027,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0028,train,g31__D15_20260123074848_frame_0028,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0029,train,g31__D15_20260123074848_frame_0029,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0030,train,g31__D15_20260123074848_frame_0030,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0031,val,g31__D15_20260123074848_frame_0031,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0032,train,g31__D15_20260123074848_frame_0032,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0033,train,g31__D15_20260123074848_frame_0033,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0034,train,g31__D15_20260123074848_frame_0034,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0035,train,g31__D15_20260123074848_frame_0035,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D15_20260123074848,D15_20260123074848_frame_0036,train,g31__D15_20260123074848_frame_0036,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0243,train,g32__D15_20260119061405_frame_0243,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0244,train,g32__D15_20260119061405_frame_0244,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0245,test,g32__D15_20260119061405_frame_0245,unified_holdout_v1,unified_holdout_v1
g32,D15_20260119061405,D15_20260119061405_frame_0246,train,g32__D15_20260119061405_frame_0246,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0247,train,g32__D15_20260119061405_frame_0247,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0248,train,g32__D15_20260119061405_frame_0248,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0249,train,g32__D15_20260119061405_frame_0249,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0250,train,g32__D15_20260119061405_frame_0250,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0251,test,g32__D15_20260119061405_frame_0251,unified_holdout_v1,unified_holdout_v1
g32,D15_20260119061405,D15_20260119061405_frame_0252,train,g32__D15_20260119061405_frame_0252,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0253,train,g32__D15_20260119061405_frame_0253,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0254,val,g32__D15_20260119061405_frame_0254,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0255,train,g32__D15_20260119061405_frame_0255,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0256,val,g32__D15_20260119061405_frame_0256,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0257,train,g32__D15_20260119061405_frame_0257,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0258,train,g32__D15_20260119061405_frame_0258,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0259,test,g32__D15_20260119061405_frame_0259,unified_holdout_v1,unified_holdout_v1
g32,D15_20260119061405,D15_20260119061405_frame_0260,train,g32__D15_20260119061405_frame_0260,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0261,train,g32__D15_20260119061405_frame_0261,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0262,val,g32__D15_20260119061405_frame_0262,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0263,train,g32__D15_20260119061405_frame_0263,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0264,val,g32__D15_20260119061405_frame_0264,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0265,train,g32__D15_20260119061405_frame_0265,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0266,val,g32__D15_20260119061405_frame_0266,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0267,train,g32__D15_20260119061405_frame_0267,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0268,train,g32__D15_20260119061405_frame_0268,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0269,train,g32__D15_20260119061405_frame_0269,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0270,train,g32__D15_20260119061405_frame_0270,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0271,val,g32__D15_20260119061405_frame_0271,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0272,test,g32__D15_20260119061405_frame_0272,unified_holdout_v1,unified_holdout_v1
g32,D15_20260119061405,D15_20260119061405_frame_0273,test,g32__D15_20260119061405_frame_0273,unified_holdout_v1,unified_holdout_v1
g32,D15_20260119061405,D15_20260119061405_frame_0274,train,g32__D15_20260119061405_frame_0274,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0275,val,g32__D15_20260119061405_frame_0275,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0276,test,g32__D15_20260119061405_frame_0276,unified_holdout_v1,unified_holdout_v1
g32,D15_20260119061405,D15_20260119061405_frame_0277,val,g32__D15_20260119061405_frame_0277,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0278,train,g32__D15_20260119061405_frame_0278,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0279,train,g32__D15_20260119061405_frame_0279,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0280,train,g32__D15_20260119061405_frame_0280,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0281,train,g32__D15_20260119061405_frame_0281,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0282,train,g32__D15_20260119061405_frame_0282,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0283,train,g32__D15_20260119061405_frame_0283,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0284,train,g32__D15_20260119061405_frame_0284,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0285,test,g32__D15_20260119061405_frame_0285,unified_holdout_v1,unified_holdout_v1
g32,D15_20260119061405,D15_20260119061405_frame_0286,train,g32__D15_20260119061405_frame_0286,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0287,train,g32__D15_20260119061405_frame_0287,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0288,val,g32__D15_20260119061405_frame_0288,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0289,test,g32__D15_20260119061405_frame_0289,unified_holdout_v1,unified_holdout_v1
g32,D15_20260119061405,D15_20260119061405_frame_0290,train,g32__D15_20260119061405_frame_0290,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0291,train,g32__D15_20260119061405_frame_0291,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0292,train,g32__D15_20260119061405_frame_0292,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0293,val,g32__D15_20260119061405_frame_0293,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0294,train,g32__D15_20260119061405_frame_0294,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0295,train,g32__D15_20260119061405_frame_0295,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0296,train,g32__D15_20260119061405_frame_0296,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0297,train,g32__D15_20260119061405_frame_0297,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0298,train,g32__D15_20260119061405_frame_0298,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0299,test,g32__D15_20260119061405_frame_0299,unified_holdout_v1,unified_holdout_v1
g32,D15_20260119061405,D15_20260119061405_frame_0300,train,g32__D15_20260119061405_frame_0300,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0301,val,g32__D15_20260119061405_frame_0301,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0302,val,g32__D15_20260119061405_frame_0302,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0303,train,g32__D15_20260119061405_frame_0303,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0304,train,g32__D15_20260119061405_frame_0304,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0305,test,g32__D15_20260119061405_frame_0305,unified_holdout_v1,unified_holdout_v1
g32,D15_20260119061405,D15_20260119061405_frame_0306,train,g32__D15_20260119061405_frame_0306,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0307,train,g32__D15_20260119061405_frame_0307,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0308,train,g32__D15_20260119061405_frame_0308,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0309,test,g32__D15_20260119061405_frame_0309,unified_holdout_v1,unified_holdout_v1
g32,D15_20260119061405,D15_20260119061405_frame_0310,train,g32__D15_20260119061405_frame_0310,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0311,val,g32__D15_20260119061405_frame_0311,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0312,train,g32__D15_20260119061405_frame_0312,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0313,train,g32__D15_20260119061405_frame_0313,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0314,train,g32__D15_20260119061405_frame_0314,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0315,train,g32__D15_20260119061405_frame_0315,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0316,train,g32__D15_20260119061405_frame_0316,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0317,train,g32__D15_20260119061405_frame_0317,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0318,train,g32__D15_20260119061405_frame_0318,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0319,train,g32__D15_20260119061405_frame_0319,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0320,train,g32__D15_20260119061405_frame_0320,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0321,train,g32__D15_20260119061405_frame_0321,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0322,test,g32__D15_20260119061405_frame_0322,unified_holdout_v1,unified_holdout_v1
g32,D15_20260119061405,D15_20260119061405_frame_0323,train,g32__D15_20260119061405_frame_0323,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0324,val,g32__D15_20260119061405_frame_0324,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0325,train,g32__D15_20260119061405_frame_0325,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0326,train,g32__D15_20260119061405_frame_0326,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0327,train,g32__D15_20260119061405_frame_0327,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0328,train,g32__D15_20260119061405_frame_0328,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0329,test,g32__D15_20260119061405_frame_0329,unified_holdout_v1,unified_holdout_v1
g32,D15_20260119061405,D15_20260119061405_frame_0330,train,g32__D15_20260119061405_frame_0330,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0331,train,g32__D15_20260119061405_frame_0331,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0332,test,g32__D15_20260119061405_frame_0332,unified_holdout_v1,unified_holdout_v1
g32,D15_20260119061405,D15_20260119061405_frame_0333,train,g32__D15_20260119061405_frame_0333,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0334,val,g32__D15_20260119061405_frame_0334,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g32,D15_20260119061405,D15_20260119061405_frame_0335,train,g32__D15_20260119061405_frame_0335,legacy_trainval_balanced_v1,source_balanced_trainval_v1
